,name,A7J11_01233+.assembled,A7J11_01233+.ref_seq,A7J11_01233+.pct_id,A7J11_01233+.ctg_cov,aac_3__II-.assembled,aac_3__II-.ref_seq,aac_3__II-.pct_id,aac_3__II-.ctg_cov,aac_6___Ib+.assembled,aac_6___Ib+.ref_seq,aac_6___Ib+.pct_id,aac_6___Ib+.ctg_cov,aadA-.assembled,aadA-.ref_seq,aadA-.pct_id,aadA-.ctg_cov,aadA-_1.assembled,aadA-_1.ref_seq,aadA-_1.pct_id,aadA-_1.ctg_cov,aadA1+.assembled,aadA1+.ref_seq,aadA1+.pct_id,aadA1+.ctg_cov,aadA2+.assembled,aadA2+.ref_seq,aadA2+.pct_id,aadA2+.ctg_cov,aph_3____Ib.assembled,aph_3____Ib.ref_seq,aph_3____Ib.pct_id,aph_3____Ib.ctg_cov,aph_6__Id.assembled,aph_6__Id.ref_seq,aph_6__Id.pct_id,aph_6__Id.ctg_cov,armA.assembled,armA.ref_seq,armA.pct_id,armA.ctg_cov,arr-.assembled,arr-.ref_seq,arr-.pct_id,arr-.ctg_cov,bla-.assembled,bla-.ref_seq,bla-.pct_id,bla-.ctg_cov,bla-_7.assembled,bla-_7.ref_seq,bla-_7.pct_id,bla-_7.ctg_cov,blaAFM_1.assembled,blaAFM_1.ref_seq,blaAFM_1.pct_id,blaAFM_1.ctg_cov,blaCTX_M_-.assembled,blaCTX_M_-.ref_seq,blaCTX_M_-.pct_id,blaCTX_M_-.ctg_cov,blaEC-.assembled,blaEC-.ref_seq,blaEC-.pct_id,blaEC-.ctg_cov,blaNDM_-.assembled,blaNDM_-.ref_seq,blaNDM_-.pct_id,blaNDM_-.ctg_cov,blaOXA_-_10.assembled,blaOXA_-_10.ref_seq,blaOXA_-_10.pct_id,blaOXA_-_10.ctg_cov,blaOXA_-_31.assembled,blaOXA_-_31.ref_seq,blaOXA_-_31.pct_id,blaOXA_-_31.ctg_cov,blaOXA_-_35.assembled,blaOXA_-_35.ref_seq,blaOXA_-_35.pct_id,blaOXA_-_35.ctg_cov,blaTEM_-.assembled,blaTEM_-.ref_seq,blaTEM_-.pct_id,blaTEM_-.ctg_cov,ble_2.assembled,ble_2.ref_seq,ble_2.pct_id,ble_2.ctg_cov,catA1.assembled,catA1.ref_seq,catA1.pct_id,catA1.ctg_cov,catB3.assembled,catB3.ref_seq,catB3.pct_id,catB3.ctg_cov,catB8+.assembled,catB8+.ref_seq,catB8+.pct_id,catB8+.ctg_cov,cmlA-.assembled,cmlA-.ref_seq,cmlA-.pct_id,cmlA-.ctg_cov,dfrA-.assembled,dfrA-.ref_seq,dfrA-.pct_id,dfrA-.ctg_cov,dfrA1.assembled,dfrA1.ref_seq,dfrA1.pct_id,dfrA1.ctg_cov,dfrA12.assembled,dfrA12.ref_seq,dfrA12.pct_id,dfrA12.ctg_cov,dfrB4.assembled,dfrB4.ref_seq,dfrB4.pct_id,dfrB4.ctg_cov,ere_A-.assembled,ere_A-.ref_seq,ere_A-.pct_id,ere_A-.ctg_cov,erm_B_.assembled,erm_B_.ref_seq,erm_B_.pct_id,erm_B_.ctg_cov,mcr_4.assembled,mcr_4.ref_seq,mcr_4.pct_id,mcr_4.ctg_cov,mef_B_.assembled,mef_B_.ref_seq,mef_B_.pct_id,mef_B_.ctg_cov,mph_A_.assembled,mph_A_.ref_seq,mph_A_.pct_id,mph_A_.ctg_cov,mph_E_.assembled,mph_E_.ref_seq,mph_E_.pct_id,mph_E_.ctg_cov,msr_E_.assembled,msr_E_.ref_seq,msr_E_.pct_id,msr_E_.ctg_cov,qac-.assembled,qac-.ref_seq,qac-.pct_id,qac-.ctg_cov,qacE-.assembled,qacE-.ref_seq,qacE-.pct_id,qacE-.ctg_cov,qepA-.assembled,qepA-.ref_seq,qepA-.pct_id,qepA-.ctg_cov,qnrA-.assembled,qnrA-.ref_seq,qnrA-.pct_id,qnrA-.ctg_cov,qnrS-.assembled,qnrS-.ref_seq,qnrS-.pct_id,qnrS-.ctg_cov,rmtB-.assembled,rmtB-.ref_seq,rmtB-.pct_id,rmtB-.ctg_cov,sat2+.assembled,sat2+.ref_seq,sat2+.pct_id,sat2+.ctg_cov,sul1.assembled,sul1.ref_seq,sul1.pct_id,sul1.ctg_cov,sul2.assembled,sul2.ref_seq,sul2.pct_id,sul2.ctg_cov,sul3.assembled,sul3.ref_seq,sul3.pct_id,sul3.ctg_cov,tet_A_.assembled,tet_A_.ref_seq,tet_A_.pct_id,tet_A_.ctg_cov,tet_B_.assembled,tet_B_.ref_seq,tet_B_.pct_id,tet_B_.ctg_cov,tet_D_.assembled,tet_D_.ref_seq,tet_D_.pct_id,tet_D_.ctg_cov
0,G18250057,partial,A7J11_01233.NG_047213.1,99.31,22.9,no,,,,yes,aac_6___Ib_cr5.NG_051711.1,99.82,25.1,no,,,,yes,aadA5.NG_047357.1,100.0,37.6,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,yes,blaCTX_M_15.NG_048935.1,100.0,35.9,yes,blaEC_15.NG_049081.1,98.5,23.5,no,,,,yes,blaOXA_1.NG_049392.1,100.0,39.5,no,,,,no,,,,yes,blaTEM_35.NG_050264.1,99.88,38.8,no,,,,no,,,,partial,catB3.NG_052455.1,100.0,26.7,no,,,,no,,,,yes,dfrA17.NG_065416.1,99.79,33.2,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,yes,mph_A_.NG_047985.1,100.0,40.1,no,,,,no,,,,no,,,,yes,qacEdelta1.NG_048042.1,100.0,25.0,no,,,,no,,,,no,,,,no,,,,no,,,,yes,sul1.NG_048082.1,100.0,34.9,no,,,,no,,,,no,,,,yes,tet_B_.NG_048163.1,100.0,41.5,no,,,
1,G18250058,no,,,,no,,,,no,,,,no,,,,yes,aadA5.NG_047357.1,100.0,44.4,no,,,,no,,,,yes,aph_3____Ib.NG_056002.2,100.0,30.7,yes,aph_6__Id.NG_047466.1,100.0,19.4,no,,,,no,,,,no,,,,no,,,,no,,,,yes,blaCTX_M_15.NG_048935.1,100.0,23.0,yes,blaEC_5.NG_049085.1,99.47,28.6,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,yes,dfrA17.NG_065416.1,99.79,34.8,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,yes,mph_A_.NG_047985.1,100.0,32.6,no,,,,no,,,,no,,,,yes,qacEdelta1.NG_048042.1,100.0,26.8,no,,,,no,,,,no,,,,no,,,,no,,,,yes,sul1.NG_048082.1,100.0,34.2,yes,sul2.NG_051852.1,100.0,32.6,no,,,,yes,tet_A_.NG_048154.1,100.0,32.2,no,,,,no,,,
2,G18250059,no,,,,yes,aac_3__IIa.NG_047244.1,99.77,22.6,no,,,,no,,,,yes,aadA5.NG_047357.1,100.0,45.1,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,yes,blaCTX_M_15.NG_048935.1,100.0,47.2,yes,blaEC_5.NG_049085.1,99.47,26.5,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,yes,dfrA17.NG_065416.1,99.79,38.5,no,,,,no,,,,no,,,,no,,,,partial,erm_B_.NG_047801.1,99.06,27.7,no,,,,no,,,,yes,mph_A_.NG_047985.1,100.0,41.4,no,,,,no,,,,no,,,,yes,qacEdelta1.NG_048042.1,100.0,32.4,no,,,,no,,,,no,,,,no,,,,no,,,,yes,sul1.NG_048082.1,100.0,41.4,no,,,,no,,,,no,,,,no,,,,no,,,
3,G18250060,partial,A7J11_01233.NG_047213.1,99.31,24.9,no,,,,yes,aac_6___Ib_cr5.NG_051711.1,99.82,28.0,no,,,,partial,aadA5.NG_051894.1,100.0,34.8,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,yes,blaCTX_M_15.NG_048935.1,100.0,33.9,yes,blaEC_5.NG_049085.1,99.47,23.7,no,,,,yes,blaOXA_1.NG_049392.1,100.0,42.6,no,,,,no,,,,no,,,,no,,,,no,,,,partial,catB3.NG_052455.1,100.0,26.6,no,,,,no,,,,yes,dfrA17.NG_065416.1,99.79,32.4,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,
4,G18250065,partial,A7J11_01233.NG_047213.1,99.31,23.4,no,,,,yes,aac_6___Ib_cr5.NG_051711.1,99.82,23.3,no,,,,yes,aadA5.NG_047357.1,100.0,28.0,no,,,,yes,aadA2.NG_047343.1,100.0,34.1,no,,,,no,,,,no,,,,no,,,,yes,blaCMY_42.NG_048837.1,100.0,31.7,no,,,,partial,blaAFM_1.NG_063835.1,90.57,2.7,no,,,,yes,blaEC_16.NG_049082.1,99.91,19.4,yes,blaNDM_5.NG_049337.1,100.0,25.2,yes,blaOXA_1.NG_049392.1,100.0,30.5,no,,,,no,,,,yes_nonunique,blaTEM_1.NG_050145.1,100.0,62.0,yes,ble.NG_047559.1,100.0,26.7,no,,,,partial,catB3.NG_052455.1,100.0,20.5,no,,,,no,,,,yes,dfrA17.NG_065416.1,99.79,24.7,no,,,,yes,dfrA12.NG_047689.1,100.0,26.5,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,yes_nonunique,qacEdelta1.NG_048042.1,100.0,52.5,no,,,,no,,,,no,,,,yes,rmtB1.NG_048058.1,100.0,29.7,no,,,,yes,sul1.NG_048082.1,100.0,50.2,no,,,,no,,,,no,,,,yes,tet_B_.NG_048163.1,100.0,28.6,no,,,
5,G18250068,no,,,,yes,aac_3__IIa.NG_047244.1,99.77,23.9,partial,aac_6___Ib.NG_052503.1,98.91,21.5,no,,,,yes,aadA5.NG_047357.1,100.0,42.4,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,yes,blaCTX_M_15.NG_048935.1,100.0,25.5,yes,blaEC_5.NG_049085.1,99.47,25.2,no,,,,yes,blaOXA_1.NG_049392.1,100.0,26.9,no,,,,no,,,,no,,,,no,,,,no,,,,partial,catB3.NG_052455.1,100.0,16.6,no,,,,no,,,,yes,dfrA17.NG_065416.1,99.79,36.3,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,yes,mph_A_.NG_047985.1,100.0,39.1,no,,,,no,,,,no,,,,yes,qacEdelta1.NG_048042.1,100.0,29.3,no,,,,no,,,,no,,,,no,,,,no,,,,yes,sul1.NG_048082.1,100.0,37.3,no,,,,no,,,,yes,tet_A_.NG_048154.1,100.0,46.8,no,,,,no,,,
6,G18250069,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,yes,blaCMY_42.NG_048837.1,100.0,70.1,no,,,,no,,,,no,,,,yes,blaEC_8.NG_049086.1,98.24,27.6,no,,,,no,,,,no,,,,yes,blaOXA_181.NG_049482.1,100.0,52.6,yes_nonunique,blaTEM_1.NG_050145.1,100.0,216.6,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,partial,ere_A_.NG_047765.1,94.08,19.2,no,,,,no,,,,no,,,,yes,mph_A_.NG_047985.1,99.89,96.7,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,yes,qnrS1.NG_050543.1,100.0,65.6,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,
7,G18250070,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,yes,blaCMY_42.NG_048837.1,100.0,57.1,no,,,,no,,,,no,,,,yes,blaEC_8.NG_049086.1,98.24,26.7,no,,,,no,,,,no,,,,yes,blaOXA_181.NG_049482.1,100.0,32.3,yes_nonunique,blaTEM_1.NG_050145.1,100.0,150.6,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,partial,ere_A_.NG_047765.1,94.08,17.9,no,,,,no,,,,no,,,,yes,mph_A_.NG_047985.1,99.89,64.5,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,yes,qnrS1.NG_050543.1,100.0,39.5,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,
8,G18250072,no,,,,no,,,,no,,,,no,,,,yes,aadA5.NG_047357.1,100.0,32.4,no,,,,no,,,,yes,aph_3____Ib.NG_056002.2,100.0,32.9,yes,aph_6__Id.NG_047466.1,100.0,23.8,no,,,,no,,,,no,,,,no,,,,no,,,,yes,blaCTX_M_15.NG_048935.1,100.0,36.1,yes,blaEC_5.NG_049085.1,99.47,20.9,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,yes,dfrA17.NG_065416.1,99.79,29.5,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,yes,mph_A_.NG_047985.1,100.0,37.1,no,,,,no,,,,no,,,,yes,qacEdelta1.NG_048042.1,100.0,26.3,no,,,,no,,,,no,,,,no,,,,no,,,,yes,sul1.NG_048082.1,100.0,35.4,yes,sul2.NG_051852.1,100.0,34.7,no,,,,yes,tet_A_.NG_048154.1,100.0,37.5,no,,,,no,,,
9,G18250076,no,,,,no,,,,no,,,,no,,,,yes,aadA5.NG_047357.1,100.0,35.7,no,,,,no,,,,yes,aph_3____Ib.NG_056002.2,100.0,29.7,yes,aph_6__Id.NG_047466.1,100.0,17.3,no,,,,no,,,,no,,,,no,,,,no,,,,yes,blaCTX_M_15.NG_048935.1,100.0,44.1,yes,blaEC_5.NG_049085.1,99.47,19.8,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,yes,dfrA17.NG_065416.1,99.79,29.6,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,no,,,,yes,mph_A_.NG_047985.1,100.0,34.8,no,,,,no,,,,no,,,,yes,qacEdelta1.NG_048042.1,100.0,25.4,no,,,,no,,,,no,,,,no,,,,no,,,,yes,sul1.NG_048082.1,100.0,32.6,yes,sul2.NG_051852.1,100.0,26.8,no,,,,yes,tet_A_.NG_048154.1,100.0,30.0,no,,,,no,,,
