allele,gene_family,refseq_nucleotide_accession,subclass
NA,aac(2')-IIa,NG_047225.1,KASUGAMYCIN
NA,aac(2')-IIb,NG_055672.1,KASUGAMYCIN
NA,aac(2')-Ia,NG_047226.1,GENTAMICIN/TOBRAMCYIN
NA,aac(2')-Ib,NG_047227.1,GENTAMICIN/TOBRAMCYIN
NA,aac(2')-Ic,NG_047229.1,GENTAMICIN/TOBRAMCYIN
NA,aac(2')-Id,NG_047230.1,GENTAMICIN/TOBRAMCYIN
NA,aac(2')-Ie,NG_050581.1,GENTAMICIN/TOBRAMCYIN
NA,aac(3)-I,NG_047235.1,GENTAMICIN
NA,aac(3)-I,NG_047237.1,GENTAMICIN
NA,aac(3)-I,NG_047240.1,GENTAMICIN
NA,aac(3)-IIIa,NG_047241.1,GENTAMICIN
NA,aac(3)-IIIb,NG_051746.1,GENTAMICIN
NA,aac(3)-IIIc,NG_047243.1,GENTAMICIN
NA,aac(3)-IIa,NG_047245.1,GENTAMICIN
NA,aac(3)-IIb,NG_047249.1,GENTAMICIN
NA,aac(3)-IIc,NG_047250.1,GENTAMICIN
NA,aac(3)-IId,NG_047251.1,GENTAMICIN
NA,aac(3)-IId,NG_047246.1,GENTAMICIN
NA,aac(3)-IIe,NG_047247.1,GENTAMICIN
NA,aac(3)-IIe,NG_047252.1,GENTAMICIN
NA,aac(3)-IIe,NG_047248.1,GENTAMICIN
NA,aac(3)-IIe,NG_047244.1,GENTAMICIN
NA,aac(3)-IIg,NG_047231.1,GENTAMICIN
NA,aac(3)-IVa,NG_047253.1,GENTAMICIN
NA,aac(3)-IXa,NG_047255.1,AMINOGLYCOSIDE
NA,aac(3)-Ia,NG_047234.1,GENTAMICIN
NA,aac(3)-Ia,NG_047233.1,GENTAMICIN
NA,aac(3)-Ia,NG_047238.1,GENTAMICIN
NA,aac(3)-Ia,NG_047236.1,GENTAMICIN
NA,aac(3)-Ia,NG_047239.1,GENTAMICIN
NA,aac(3)-Ia,NG_047232.1,GENTAMICIN
NA,aac(3)-Ia,NG_056001.1,GENTAMICIN
NA,aac(3)-Ib,NG_067945.1,GENTAMICIN
NA,aac(3)-Ib,NG_047257.1,GENTAMICIN
NA,aac(3)-Ic,NG_048568.1,GENTAMICIN
NA,aac(3)-Id,NG_048569.1,GENTAMICIN
NA,aac(3)-Id,NG_052489.1,GENTAMICIN
NA,aac(3)-If,NG_048570.1,GENTAMICIN
NA,aac(3)-If,NG_052479.1,GENTAMICIN
NA,aac(3)-Ig,NG_048571.1,GENTAMICIN
NA,aac(3)-Ih,NG_048572.1,GENTAMICIN
NA,aac(3)-Ii,NG_048573.1,GENTAMICIN
NA,aac(3)-VIII,NG_047258.1,AMINOGLYCOSIDE
NA,aac(3)-VIII,NG_047260.1,AMINOGLYCOSIDE
NA,aac(3)-VIII,NG_047259.1,AMINOGLYCOSIDE
aac(3)-VIIIa,aac(3)-VIII,NG_048574.1,AMINOGLYCOSIDE
NA,aac(3)-VIIa,NG_047261.1,AMINOGLYCOSIDE
NA,aac(3)-VIa,NG_052583.3,GENTAMICIN
NA,aac(3)-VIa,NG_047262.1,GENTAMICIN
NA,aac(3)-XI,NG_050595.1,AMINOGLYCOSIDE
NA,aac(3)-Xa,NG_047263.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052265.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052254.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052157.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052284.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052389.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052449.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052413.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052293.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052294.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052297.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052445.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052415.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052263.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052428.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052336.1,AMINOGLYCOSIDE
NA,aac(6'),NG_054688.1,AMINOGLYCOSIDE
NA,aac(6'),NG_054689.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052471.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052209.1,AMINOGLYCOSIDE
NA,aac(6'),NG_054690.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052420.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052198.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052199.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052200.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052201.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052138.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052139.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052448.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052450.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052451.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052178.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052346.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052341.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052342.1,AMINOGLYCOSIDE
NA,aac(6'),NG_054655.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052345.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052347.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052466.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052419.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052423.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052195.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052196.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052194.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052193.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052192.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052191.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052190.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052427.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052459.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052429.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052532.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052533.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052534.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052292.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052300.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052301.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052175.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052425.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052464.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052469.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052467.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052468.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052204.1,AMINOGLYCOSIDE
